,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
32,DisTest_Seed783331_Strain0p9_NumberOfCells85,ALL,1257.5645161669256,wholeMod,0.0,0.009,0.0,968.1980000000001,-1.1409999999999627,0.03378242204586665,0.1679888665676117,1.8700931486857668,1.72413793,0
32.1,DisTest_Seed783331_Strain0p9_NumberOfCells85,ALL,1257.5645161669256,Martensite,0.0,0.009,0.0,968.1980000000001,-1.1409999999999627,0.02979447098599898,0.11136176437139511,1.8700931486857668,1.72413793,0
32.2,DisTest_Seed783331_Strain0p9_NumberOfCells85,ALL,1695.033251777581,Ferrite,0.0,0.009,0.0,968.1980000000001,-1.1409999999999627,0.03378242204586665,0.1679888665676117,2.5212397882003104,1.7241379310344,0
33,DisTest_Seed61442_Strain0p6_NumberOfCells85,ALL,7791.043958246209,wholeMod,0.0,0.006,0.0,786.8815,-0.2705000000000837,0.010345173008898471,0.06294045597314835,1.8700931486857668,1.72413793,0
33.1,DisTest_Seed61442_Strain0p6_NumberOfCells85,ALL,7791.043958246209,Martensite,0.0,0.006,0.0,786.8815,-0.2705000000000837,0.010345173008898471,0.03759593516588211,1.8700931486857668,1.72413793,0
33.2,DisTest_Seed61442_Strain0p6_NumberOfCells85,ALL,18248.471705942367,Ferrite,0.0,0.006,0.0,786.8815,-0.2705000000000837,0.008513394980988603,0.06294045597314835,2.5212397882003104,1.7241379310344,0
34,DisTest_Seed783331_Strain0p6_NumberOfCells46,ALL,4277.538587180918,wholeMod,0.0,0.006,0.0,778.2845,-0.2535000000000309,0.01974793410281072,0.07117339223623276,2.5212397882003104,1.7241379310344,0
34.1,DisTest_Seed783331_Strain0p6_NumberOfCells46,ALL,11005.0731474257,Martensite,0.0,0.006,0.0,778.2845,-0.2535000000000309,0.008467190604853002,0.033804114907979965,1.8700931486857668,1.72413793,0
34.2,DisTest_Seed783331_Strain0p6_NumberOfCells46,ALL,4277.538587180918,Ferrite,0.0,0.006,0.0,778.2845,-0.2535000000000309,0.01974793410281072,0.07117339223623276,2.5212397882003104,1.7241379310344,0
35,DisTest_Seed36003_Strain0p6_NumberOfCells46,ALL,2659.198651488741,wholeMod,0.0,0.006,0.0,778.96,-0.25900000000001455,0.026017088766979134,0.10792794823646545,2.5212397882003104,1.7241379310344,0
35.1,DisTest_Seed36003_Strain0p6_NumberOfCells46,ALL,4947.8107925326,Martensite,0.0,0.006,0.0,778.96,-0.25900000000001455,0.013461815974404734,0.06809605658054352,1.8700931486857668,1.72413793,0
35.2,DisTest_Seed36003_Strain0p6_NumberOfCells46,ALL,2659.198651488741,Ferrite,0.0,0.006,0.0,778.96,-0.25900000000001455,0.026017088766979134,0.10792794823646545,2.5212397882003104,1.7241379310344,0
36,DisTest_Seed36003_Strain0p3_NumberOfCells688,ALL,83028.62744551545,wholeMod,0.0,0.003,0.0,546.9385,-0.039499999999975444,0.0026224733252699175,0.012155762873589993,1.8700931486857668,1.72413793,0
36.1,DisTest_Seed36003_Strain0p3_NumberOfCells688,ALL,83028.62744551545,Martensite,0.0,0.003,0.0,546.9385,-0.039499999999975444,0.0026224733252699175,0.012155762873589993,1.8700931486857668,1.72413793,0
36.2,DisTest_Seed36003_Strain0p3_NumberOfCells688,ALL,386605.4070705356,Ferrite,0.0,0.003,0.0,546.9385,-0.039499999999975444,0.0014487677050055937,0.004293486941605806,2.5212397882003104,1.7241379310344,0
37,DisTest_Seed61442_Strain0p3_NumberOfCells214,ALL,80139.14647909766,wholeMod,0.0,0.003,0.0,543.513,-0.03300000000001546,0.0026769071276224144,0.012263470329344273,1.8700931486857668,1.72413793,0
37.1,DisTest_Seed61442_Strain0p3_NumberOfCells214,ALL,416591.4447875496,Ferrite,0.0,0.003,0.0,543.513,-0.03300000000001546,0.0013873375813803963,0.012263470329344273,2.5212397882003104,1.7241379310344,0
37.2,DisTest_Seed61442_Strain0p3_NumberOfCells214,ALL,80139.14647909766,Martensite,0.0,0.003,0.0,543.513,-0.03300000000001546,0.0026769071276224144,0.0114586241543293,1.8700931486857668,1.72413793,0
38,DisTest_Seed36003_Strain0p3_NumberOfCells214,ALL,47849.672227549934,wholeMod,0.0,0.003,0.0,545.1545,-0.032500000000027285,0.003717177163343877,0.010037940926849842,1.8700931486857668,1.72413793,0
38.1,DisTest_Seed36003_Strain0p3_NumberOfCells214,ALL,47849.672227549934,Martensite,0.0,0.003,0.0,545.1545,-0.032500000000027285,0.003610218077541349,0.010037940926849842,1.8700931486857668,1.72413793,0
38.2,DisTest_Seed36003_Strain0p3_NumberOfCells214,ALL,76159.77907141359,Ferrite,0.0,0.003,0.0,545.1545,-0.032500000000027285,0.003717177163343877,0.007833268493413925,2.5212397882003104,1.7241379310344,0
39,DisTest_Seed783331_Strain0p3_NumberOfCells688,ALL,56417.9126287545,wholeMod,0.0,0.003,0.0,546.5219999999999,-0.04100000000005366,0.0032812654783294813,0.010620715096592903,1.8700931486857668,1.72413793,0
39.1,DisTest_Seed783331_Strain0p3_NumberOfCells688,ALL,56417.9126287545,Martensite,0.0,0.003,0.0,546.5219999999999,-0.04100000000005366,0.0032812654783294813,0.010620715096592903,1.8700931486857668,1.72413793,0
39.2,DisTest_Seed783331_Strain0p3_NumberOfCells688,ALL,82620615.43968678,Ferrite,0.0,0.003,0.0,546.5219999999999,-0.04100000000005366,6.4521263772343e-05,0.005293603986501694,2.5212397882003104,1.7241379310344,0
40,DisTest_Seed783331_Strain0p3_NumberOfCells214,ALL,127945.14011876252,wholeMod,0.0,0.003,0.0,544.128,-0.033999999999991815,0.002710069341039092,0.011048060841858387,1.8700931486857668,1.72413793,0
40.1,DisTest_Seed783331_Strain0p3_NumberOfCells214,ALL,127945.14011876252,Martensite,0.0,0.003,0.0,544.128,-0.033999999999991815,0.002040748268501052,0.011048060841858387,1.8700931486857668,1.72413793,0
40.2,DisTest_Seed783331_Strain0p3_NumberOfCells214,ALL,131320.96039805256,Ferrite,0.0,0.003,0.0,544.128,-0.033999999999991815,0.002710069341039092,0.008040118031203747,2.5212397882003104,1.7241379310344,0
41,DisTest_Seed256091_Strain0p6_NumberOfCells6,ALL,4211.926814048386,wholeMod,0.0,0.006,0.0,752.498,-0.27099999999995816,0.01992577760282791,0.1040155366063118,2.5212397882003104,1.7241379310344,0
41.1,DisTest_Seed256091_Strain0p6_NumberOfCells6,ALL,5286.205715306818,Martensite,0.0,0.006,0.0,752.498,-0.27099999999995816,0.012955067587979869,0.053015027195215225,1.8700931486857668,1.72413793,0
41.2,DisTest_Seed256091_Strain0p6_NumberOfCells6,ALL,4211.926814048386,Ferrite,0.0,0.006,0.0,752.498,-0.27099999999995816,0.01992577760282791,0.1040155366063118,2.5212397882003104,1.7241379310344,0
42,DisTest_Seed36003_Strain0p6_NumberOfCells214,ALL,2992.4653298582175,wholeMod,0.0,0.006,0.0,805.383,-0.2939999999999827,0.02429501985221408,0.05409328266978264,2.5212397882003104,1.7241379310344,0
42.1,DisTest_Seed36003_Strain0p6_NumberOfCells214,ALL,5888.421591414112,Martensite,0.0,0.006,0.0,805.383,-0.2939999999999827,0.012169251812899367,0.05409328266978264,1.8700931486857668,1.72413793,0
42.2,DisTest_Seed36003_Strain0p6_NumberOfCells214,ALL,2992.4653298582175,Ferrite,0.0,0.006,0.0,805.383,-0.2939999999999827,0.02429501985221408,0.048237696290016174,2.5212397882003104,1.7241379310344,0
43,DisTest_Seed36003_Strain0p9_NumberOfCells688,ALL,1941.0117994896998,wholeMod,0.0,0.009,0.0,1009.875,-1.2450000000000045,0.031228980781244378,0.13790906965732574,2.5212397882003104,1.7241379310344,0
43.1,DisTest_Seed36003_Strain0p9_NumberOfCells688,ALL,2427.621109022907,Martensite,0.0,0.009,0.0,1009.875,-1.2450000000000045,0.02034502898653348,0.13790906965732574,1.8700931486857668,1.72413793,0
43.2,DisTest_Seed36003_Strain0p9_NumberOfCells688,ALL,1941.0117994896998,Ferrite,0.0,0.009,0.0,1009.875,-1.2450000000000045,0.031228980781244378,0.1073104739189148,2.5212397882003104,1.7241379310344,0
44,DisTest_Seed61442_Strain0p6_NumberOfCells46,ALL,7857.471813168448,wholeMod,0.0,0.006,0.0,778.5035,-0.2644999999999982,0.01387874223291874,0.09315908700227737,2.5212397882003104,1.7241379310344,0
44.1,DisTest_Seed61442_Strain0p6_NumberOfCells46,ALL,11413.698048566146,Martensite,0.0,0.006,0.0,778.5035,-0.2644999999999982,0.008290026863840848,0.039675842970609665,1.8700931486857668,1.72413793,0
44.2,DisTest_Seed61442_Strain0p6_NumberOfCells46,ALL,7857.471813168448,Ferrite,0.0,0.006,0.0,778.5035,-0.2644999999999982,0.01387874223291874,0.09315908700227737,2.5212397882003104,1.7241379310344,0
45,DisTest_Seed783331_Strain0p3_NumberOfCells85,ALL,38721.39586269212,wholeMod,0.0,0.003,0.0,538.37,-0.029999999999972715,0.004081799374408509,0.012098420411348343,1.8700931486857668,1.72413793,0
45.1,DisTest_Seed783331_Strain0p3_NumberOfCells85,ALL,38721.39586269212,Martensite,0.0,0.003,0.0,538.37,-0.029999999999972715,0.004081799374408509,0.00967379566282034,1.8700931486857668,1.72413793,0
45.2,DisTest_Seed783331_Strain0p3_NumberOfCells85,ALL,130945.6166772244,Ferrite,0.0,0.003,0.0,538.37,-0.029999999999972715,0.0027145721698896247,0.012098420411348343,2.5212397882003104,1.7241379310344,0
46,DisTest_Seed36003_Strain0p6_NumberOfCells6,ALL,1370.1291941949892,wholeMod,0.0,0.006,0.0,748.443,-0.26900000000000546,0.03822015733160871,0.13460806012153625,2.5212397882003104,1.7241379310344,0
46.1,DisTest_Seed36003_Strain0p6_NumberOfCells6,ALL,10295.331634625394,Martensite,0.0,0.006,0.0,748.443,-0.26900000000000546,0.00880099633442504,0.04955387860536575,1.8700931486857668,1.72413793,0
46.2,DisTest_Seed36003_Strain0p6_NumberOfCells6,ALL,1370.1291941949892,Ferrite,0.0,0.006,0.0,748.443,-0.26900000000000546,0.03822015733160871,0.13460806012153625,2.5212397882003104,1.7241379310344,0
47,DisTest_Seed783331_Strain0p3_NumberOfCells6,ALL,24265.333520040458,wholeMod,0.0,0.003,0.0,516.5899999999999,-0.1190000000000282,0.007216425268384425,0.027553148567676544,2.5212397882003104,1.7241379310344,0
47.1,DisTest_Seed783331_Strain0p3_NumberOfCells6,ALL,34563.14482755433,Martensite,0.0,0.003,0.0,516.5899999999999,-0.1190000000000282,0.004359809886664152,0.011128042824566364,1.8700931486857668,1.72413793,0
47.2,DisTest_Seed783331_Strain0p3_NumberOfCells6,ALL,24265.333520040458,Ferrite,0.0,0.003,0.0,516.5899999999999,-0.1190000000000282,0.007216425268384425,0.027553148567676544,2.5212397882003104,1.7241379310344,0
48,DisTest_Seed783331_Strain0p9_NumberOfCells6,ALL,954.5216150824712,wholeMod,0.0,0.009,0.0,916.7745,-1.0394999999999754,0.0369010193140379,0.24340073764324188,1.8700931486857668,1.72413793,0
48.1,DisTest_Seed783331_Strain0p9_NumberOfCells6,ALL,954.5216150824712,Martensite,0.0,0.009,0.0,916.7745,-1.0394999999999754,0.034961293554968305,0.14339564740657806,1.8700931486857668,1.72413793,0
48.2,DisTest_Seed783331_Strain0p9_NumberOfCells6,ALL,1455.6658912028356,Ferrite,0.0,0.009,0.0,916.7745,-1.0394999999999754,0.0369010193140379,0.24340073764324188,2.5212397882003104,1.7241379310344,0
49,DisTest_Seed256091_Strain0p9_NumberOfCells46,ALL,979.3988709575684,wholeMod,0.0,0.009,0.0,960.956,-1.15300000000002,0.046436297485516184,0.26995036005973816,2.5212397882003104,1.7241379310344,0
49.1,DisTest_Seed256091_Strain0p9_NumberOfCells46,ALL,2802.8140250545175,Martensite,0.0,0.009,0.0,960.956,-1.15300000000002,0.01871796170289212,0.1268579065799713,1.8700931486857668,1.72413793,0
49.2,DisTest_Seed256091_Strain0p9_NumberOfCells46,ALL,979.3988709575684,Ferrite,0.0,0.009,0.0,960.956,-1.15300000000002,0.046436297485516184,0.26995036005973816,2.5212397882003104,1.7241379310344,0
50,DisTest_Seed256091_Strain0p3_NumberOfCells214,ALL,56077.12113217252,wholeMod,0.0,0.003,0.0,544.58,-0.03300000000001546,0.003292816473131484,0.010290676727890968,1.8700931486857668,1.72413793,0
50.1,DisTest_Seed256091_Strain0p3_NumberOfCells214,ALL,56077.12113217252,Martensite,0.0,0.003,0.0,544.58,-0.03300000000001546,0.003292816473131484,0.010290676727890968,1.8700931486857668,1.72413793,0
50.2,DisTest_Seed256091_Strain0p3_NumberOfCells214,ALL,325890.82909480925,Ferrite,0.0,0.003,0.0,544.58,-0.03300000000001546,0.0015996770401086125,0.0073189083486795425,2.5212397882003104,1.7241379310344,0
